,Time,Alt,Bearing,Speed,VerticalAccuracy,Accuracy
0,1634469751897,133.03593659575242,0.0,0.0,3.0,8.28
1,1634469751904,133.03593659575242,0.0,0.0,3.0,8.28
2,1634469754400,132.6139007300652,0.0,0.0,3.0,19.398
3,1634469759629,132.67467286571238,0.013831295,1.0878917,3.0,19.165
4,1634469764801,132.71994222765497,109.49764,0.0756763,3.0,12.685
5,1634469770321,132.57835872653447,262.85712,0.4822949,3.0,20.498
6,1634469775822,132.45065682701133,256.9175,0.5147818,3.0,13.614
7,1634469781106,132.48788922850284,231.94336,0.41589788,3.0,11.442
8,1634469786678,132.62801268585153,277.51453,0.11894322,3.0,9.694
9,1634469792628,132.58442800101653,169.58487,0.40154633,3.0,8.0
10,1634469798624,132.66071912091277,85.67476,0.04777258,3.0,8.416
11,1634469804595,132.71143953026956,180.0,0.06005462,3.0,8.583
12,1634469810573,132.52181007056464,180.0,0.29231584,3.0,7.928
13,1634469815595,132.5627606551681,180.0,0.00059371506,3.0,7.6
14,1634469820583,132.58806585247595,180.0,0.12044463,3.0,7.485
15,1634469825592,132.68656754916003,0.0,0.0048480136,3.0,7.6
16,1634469831561,132.5825614753455,156.65741,0.9505398,3.0,7.792
17,1634469836580,132.66058062287158,154.96913,1.6782936,3.0,8.5
18,1634469842562,132.5761972400573,82.01169,0.22815017,3.0,8.137
19,1634469847589,132.54270728963817,88.01604,0.5837983,3.0,9.333
20,1634469852598,132.5343587896152,199.43382,0.5386329,3.0,9.193
21,1634469858602,132.51997692996466,1.4067503,0.29880825,3.0,8.8
22,1634469864574,132.61057890586136,3.4580584,0.36429572,3.0,9.477
23,1634469870539,132.6852420395451,63.91913,0.5187163,3.0,9.25
24,1634469875573,132.6437672685828,88.85687,0.46185562,3.0,9.76
25,1634469880573,132.7011735418233,166.63432,0.16500352,3.0,9.1
26,1634469886583,132.46530031351446,115.05416,0.25236663,3.0,9.5
27,1634469891616,132.48853356438244,158.09987,0.5734241,3.0,10.3
28,1634469897564,132.44177523527742,172.40799,0.31855345,3.0,12.0
29,1634469902582,132.66776248189854,184.95354,0.55435365,3.0,10.887
30,1634469908565,132.60772974910753,153.06044,0.26112607,3.0,12.583
31,1634469913588,132.42137298842542,350.9763,0.13339506,3.0,12.247
32,1634469919592,132.37000543829234,235.88892,0.021570811,3.0,11.583
33,1634469925599,132.53771395765096,0.0,0.24759299,3.0,12.654
34,1634469931577,132.5289244892379,180.0,0.0077012074,3.0,12.6
35,1634469936599,132.52555594604434,180.0,0.0010842857,3.0,13.739
36,1634469941588,132.43053525989166,353.13223,0.32340285,3.0,12.2
37,1634469947587,132.3729440736296,259.95404,0.4541038,3.0,11.856
38,1634469952585,132.41341865761834,232.74918,0.3103236,3.0,11.5
39,1634469957578,132.64597777766832,180.0,0.0029398105,3.0,13.044
40,1634469963558,132.6121686659037,261.0938,0.62992674,3.0,11.916
